market_id,commodity_id,date,price_npr,unit
kalimati,tomato,2024-01-01,62.55,kg
kalimati,tomato,2024-01-02,62.91,kg
kalimati,tomato,2024-01-03,63.34,kg
kalimati,tomato,2024-01-04,62.49,kg
kalimati,tomato,2024-01-05,63.18,kg
kalimati,tomato,2024-01-06,60.18,kg
kalimati,tomato,2024-01-07,61.94,kg
kalimati,tomato,2024-01-08,61.98,kg
kalimati,tomato,2024-01-09,61.65,kg
kalimati,tomato,2024-01-10,62.09,kg
kalimati,tomato,2024-01-11,62.47,kg
kalimati,tomato,2024-01-12,63.78,kg
kalimati,tomato,2024-01-13,61.16,kg
kalimati,tomato,2024-01-14,63.27,kg
kalimati,tomato,2024-01-15,62.9,kg
kalimati,tomato,2024-01-16,63.08,kg
kalimati,tomato,2024-01-17,62.67,kg
kalimati,tomato,2024-01-18,63.08,kg
kalimati,tomato,2024-01-19,64.33,kg
kalimati,tomato,2024-01-20,61.11,kg
kalimati,tomato,2024-01-21,62.71,kg
kalimati,tomato,2024-01-22,63.27,kg
kalimati,tomato,2024-01-23,63.21,kg
kalimati,tomato,2024-01-24,63.03,kg
kalimati,tomato,2024-01-25,62.88,kg
kalimati,tomato,2024-01-26,64.4,kg
kalimati,tomato,2024-01-27,61.4,kg
kalimati,tomato,2024-01-28,63.49,kg
kalimati,tomato,2024-01-29,63.68,kg
kalimati,tomato,2024-01-30,64.62,kg
kalimati,tomato,2024-01-31,64.4,kg
kalimati,tomato,2024-02-01,64.15,kg
kalimati,tomato,2024-02-02,65.04,kg
kalimati,tomato,2024-02-03,62.11,kg
kalimati,tomato,2024-02-04,64.51,kg
kalimati,tomato,2024-02-05,64.43,kg
kalimati,tomato,2024-02-06,64.03,kg
kalimati,tomato,2024-02-07,63.65,kg
kalimati,tomato,2024-02-08,63.93,kg
kalimati,tomato,2024-02-09,65.52,kg
kalimati,tomato,2024-02-10,62.52,kg
kalimati,tomato,2024-02-11,64.13,kg
kalimati,tomato,2024-02-12,64.21,kg
kalimati,tomato,2024-02-13,64.24,kg
kalimati,tomato,2024-02-14,64.31,kg
kalimati,tomato,2024-02-15,64.67,kg
kalimati,tomato,2024-02-16,66.03,kg
kalimati,tomato,2024-02-17,63.04,kg
kalimati,tomato,2024-02-18,64.98,kg
kalimati,tomato,2024-02-19,65.06,kg
kalimati,tomato,2024-02-20,65.29,kg
kalimati,tomato,2024-02-21,64.59,kg
kalimati,tomato,2024-02-22,64.41,kg
kalimati,tomato,2024-02-23,65.46,kg
kalimati,tomato,2024-02-24,61.96,kg
kalimati,tomato,2024-02-25,63.74,kg
kalimati,tomato,2024-02-26,64.39,kg
kalimati,tomato,2024-02-27,63.98,kg
kalimati,tomato,2024-02-28,64.39,kg
kalimati,tomato,2024-02-29,63.62,kg
kalimati,tomato,2024-03-01,61.65,kg
kalimati,tomato,2024-03-02,58.7,kg
kalimati,tomato,2024-03-03,60.76,kg
kalimati,tomato,2024-03-04,61.04,kg
kalimati,tomato,2024-03-05,61.36,kg
kalimati,tomato,2024-03-06,61.18,kg
kalimati,tomato,2024-03-07,60.97,kg
kalimati,tomato,2024-03-08,62.54,kg
kalimati,tomato,2024-03-09,59.37,kg
kalimati,tomato,2024-03-10,60.64,kg
kalimati,tomato,2024-03-11,60.16,kg
kalimati,tomato,2024-03-12,59.78,kg
kalimati,tomato,2024-03-13,60.01,kg
kalimati,tomato,2024-03-14,60.08,kg
kalimati,tomato,2024-03-15,61.59,kg
kalimati,tomato,2024-03-16,58.4,kg
kalimati,tomato,2024-03-17,60.28,kg
kalimati,tomato,2024-03-18,60.54,kg
kalimati,tomato,2024-03-19,60.41,kg
kalimati,tomato,2024-03-20,60.6,kg
kalimati,tomato,2024-03-21,60.32,kg
kalimati,tomato,2024-03-22,61.37,kg
kalimati,tomato,2024-03-23,58.22,kg
kalimati,tomato,2024-03-24,59.53,kg
kalimati,tomato,2024-03-25,64.54,kg
kalimati,tomato,2024-03-26,64.35,kg
kalimati,tomato,2024-03-27,59.61,kg
kalimati,tomato,2024-03-28,59.84,kg
kalimati,tomato,2024-03-29,61.24,kg
kalimati,tomato,2024-03-30,58.52,kg
kalimati,tomato,2024-03-31,60.29,kg
kalimati,tomato,2024-04-01,60.12,kg
kalimati,tomato,2024-04-02,60.1,kg
kalimati,tomato,2024-04-03,59.4,kg
kalimati,tomato,2024-04-04,58.82,kg
kalimati,tomato,2024-04-05,59.48,kg
kalimati,tomato,2024-04-06,56.22,kg
kalimati,tomato,2024-04-07,58.2,kg
kalimati,tomato,2024-04-08,57.88,kg
kalimati,tomato,2024-04-09,57.8,kg
kalimati,tomato,2024-04-10,58.43,kg
kalimati,tomato,2024-04-11,58.34,kg
kalimati,tomato,2024-04-12,59.88,kg
kalimati,tomato,2024-04-13,56.62,kg
kalimati,tomato,2024-04-14,58.34,kg
kalimati,tomato,2024-04-15,58.01,kg
kalimati,tomato,2024-04-16,57.94,kg
kalimati,tomato,2024-04-17,58.36,kg
kalimati,tomato,2024-04-18,57.7,kg
kalimati,tomato,2024-04-19,59.12,kg
kalimati,tomato,2024-04-20,56.39,kg
kalimati,tomato,2024-04-21,57.96,kg
kalimati,tomato,2024-04-22,57.42,kg
kalimati,tomato,2024-04-23,57.54,kg
kalimati,tomato,2024-04-24,57.41,kg
kalimati,tomato,2024-04-25,57.6,kg
kalimati,tomato,2024-04-26,58.84,kg
kalimati,tomato,2024-04-27,56.69,kg
kalimati,tomato,2024-04-28,58.4,kg
kalimati,tomato,2024-04-29,58.03,kg
kalimati,tomato,2024-04-30,58.18,kg
kalimati,tomato,2024-05-01,58.34,kg
kalimati,tomato,2024-05-02,58.97,kg
kalimati,tomato,2024-05-03,60.55,kg
kalimati,tomato,2024-05-04,57.76,kg
kalimati,tomato,2024-05-05,60.19,kg
kalimati,tomato,2024-05-06,59.7,kg
kalimati,tomato,2024-05-07,59.45,kg
kalimati,tomato,2024-05-08,59.09,kg
kalimati,tomato,2024-05-09,58.97,kg
kalimati,tomato,2024-05-10,59.6,kg
kalimati,tomato,2024-05-11,56.99,kg
kalimati,tomato,2024-05-12,58.71,kg
kalimati,tomato,2024-05-13,58.15,kg
kalimati,tomato,2024-05-14,57.79,kg
kalimati,tomato,2024-05-15,58.0,kg
kalimati,tomato,2024-05-16,58.42,kg
kalimati,tomato,2024-05-17,60.51,kg
kalimati,tomato,2024-05-18,58.76,kg
kalimati,tomato,2024-05-19,60.75,kg
kalimati,tomato,2024-05-20,60.32,kg
kalimati,tomato,2024-05-21,59.43,kg
kalimati,tomato,2024-05-22,59.57,kg
kalimati,tomato,2024-05-23,59.26,kg
kalimati,tomato,2024-05-24,60.3,kg
kalimati,tomato,2024-05-25,57.13,kg
kalimati,tomato,2024-05-26,58.89,kg
kalimati,tomato,2024-05-27,59.38,kg
kalimati,tomato,2024-05-28,59.48,kg
kalimati,tomato,2024-05-29,59.44,kg
kalimati,tomato,2024-05-30,59.03,kg
kalimati,tomato,2024-05-31,59.54,kg
kalimati,tomato,2024-06-01,68.96,kg
kalimati,tomato,2024-06-02,71.56,kg
kalimati,tomato,2024-06-03,67.76,kg
kalimati,tomato,2024-06-04,68.07,kg
kalimati,tomato,2024-06-05,71.12,kg
kalimati,tomato,2024-06-06,73.22,kg
kalimati,tomato,2024-06-07,72.09,kg
kalimati,tomato,2024-06-08,68.35,kg
kalimati,tomato,2024-06-09,69.96,kg
kalimati,tomato,2024-06-10,69.22,kg
kalimati,tomato,2024-06-11,70.23,kg
kalimati,tomato,2024-06-12,73.79,kg
kalimati,tomato,2024-06-13,73.76,kg
kalimati,tomato,2024-06-14,73.68,kg
kalimati,tomato,2024-06-15,71.35,kg
kalimati,tomato,2024-06-16,71.4,kg
kalimati,tomato,2024-06-17,73.75,kg
kalimati,tomato,2024-06-18,74.19,kg
kalimati,tomato,2024-06-19,70.2,kg
kalimati,tomato,2024-06-20,70.2,kg
kalimati,tomato,2024-06-21,73.77,kg
kalimati,tomato,2024-06-22,68.81,kg
kalimati,tomato,2024-06-23,74.92,kg
kalimati,tomato,2024-06-24,70.13,kg
kalimati,tomato,2024-06-25,70.7,kg
kalimati,tomato,2024-06-26,72.35,kg
kalimati,tomato,2024-06-27,70.95,kg
kalimati,tomato,2024-06-28,72.41,kg
kalimati,tomato,2024-06-29,70.65,kg
kalimati,tomato,2024-06-30,72.51,kg
kalimati,tomato,2024-07-01,69.14,kg
kalimati,tomato,2024-07-02,70.64,kg
kalimati,tomato,2024-07-03,71.49,kg
kalimati,tomato,2024-07-04,74.23,kg
kalimati,tomato,2024-07-05,75.44,kg
kalimati,tomato,2024-07-06,69.72,kg
kalimati,tomato,2024-07-07,69.27,kg
kalimati,tomato,2024-07-08,72.43,kg
kalimati,tomato,2024-07-09,73.06,kg
kalimati,tomato,2024-07-10,73.56,kg
kalimati,tomato,2024-07-11,73.63,kg
kalimati,tomato,2024-07-12,70.62,kg
kalimati,tomato,2024-07-13,70.09,kg
kalimati,tomato,2024-07-14,70.22,kg
kalimati,tomato,2024-07-15,73.41,kg
kalimati,tomato,2024-07-16,70.31,kg
kalimati,tomato,2024-07-17,70.88,kg
kalimati,tomato,2024-07-18,70.87,kg
kalimati,tomato,2024-07-19,70.46,kg
kalimati,tomato,2024-07-20,71.83,kg
kalimati,tomato,2024-07-21,69.37,kg
kalimati,tomato,2024-07-22,70.71,kg
kalimati,tomato,2024-07-23,71.58,kg
kalimati,tomato,2024-07-24,75.5,kg
kalimati,tomato,2024-07-25,71.55,kg
kalimati,tomato,2024-07-26,71.8,kg
kalimati,tomato,2024-07-27,68.03,kg
kalimati,tomato,2024-07-28,70.34,kg
kalimati,tomato,2024-07-29,74.23,kg
kalimati,tomato,2024-07-30,72.02,kg
kalimati,tomato,2024-07-31,75.02,kg
kalimati,tomato,2024-08-01,69.93,kg
kalimati,tomato,2024-08-02,73.39,kg
kalimati,tomato,2024-08-03,70.38,kg
kalimati,tomato,2024-08-04,72.41,kg
kalimati,tomato,2024-08-05,71.31,kg
kalimati,tomato,2024-08-06,71.21,kg
kalimati,tomato,2024-08-07,71.91,kg
kalimati,tomato,2024-08-08,76.25,kg
kalimati,tomato,2024-08-09,77.24,kg
